UniqueKey,year,category_id,category,subcategory_id,subcategory,project-id,project,amount
2014-1,2014,1,議会費,1.1,議会費,project-1,議会費,171230000
2014-2,2014,2,総務費,2.1,総務費,project-2,総務費,1733408000
2014-3,2014,3,民生費,3.1,民生費,project-3,民生費,5227399000
2014-4,2014,4,衛生費,4.1,衛生費,project-4,衛生費,1188259000
2014-5,2014,5,労働費,5.1,労働費,project-5,労働費,36222000
2014-6,2014,6,農林水産業費,6.1,農林水産業費,project-6,農林水産業費,841664000
2014-7,2014,7,商工費,7.1,商工費,project-7,商工費,454500000
2014-8,2014,8,土木費,8.1,土木費,project-8,土木費,1733164000
2014-9,2014,9,消防費,9.1,消防費,project-9,消防費,1082608000
2014-10,2014,10,教育費,10.1,教育費,project-10,教育費,1659054000
2014-11,2014,11,災害復旧費,11.1,災害復旧費,project-11,災害復旧費,39018000
2014-12,2014,12,公債費,12.1,公債費,project-12,公債費,2703474000
2014-13,2014,13,予備費,13.1,予備費,project-13,予備費,60000
